"lon","lat","CLASS","geometry","name"
-12.625,14.625,"Des_Line","POINT (-12.625 14.625)","Senegal"
-12.375,14.625,"Des_Line","POINT (-12.375 14.625)","Senegal"
-13.625,14.375,"Des_Line","POINT (-13.625 14.375)","Senegal"
-13.375,14.375,"Des_Line","POINT (-13.375 14.375)","Senegal"
-13.125,14.375,"Des_Line","POINT (-13.125 14.375)","Senegal"
-12.875,14.375,"Des_Line","POINT (-12.875 14.375)","Senegal"
-12.125,14.375,"Des_Line","POINT (-12.125 14.375)","Mali"
-11.875,14.375,"Des_Line","POINT (-11.875 14.375)","Mali"
-11.625,14.375,"Des_Line","POINT (-11.625 14.375)","Mali"
37.875,14.375,"Des_Line","POINT (37.875 14.375)","Ethiopia"
38.125,14.375,"Des_Line","POINT (38.125 14.375)","Ethiopia"
38.375,14.375,"Des_Line","POINT (38.375 14.375)","Ethiopia"
38.875,14.375,"Des_Line","POINT (38.875 14.375)","Ethiopia"
39.125,14.375,"Des_Line","POINT (39.125 14.375)","Ethiopia"
39.375,14.375,"Des_Line","POINT (39.375 14.375)","Ethiopia"
-15.125,14.125,"Des_Line","POINT (-15.125 14.125)","Senegal"
-14.875,14.125,"Des_Line","POINT (-14.875 14.125)","Senegal"
-14.625,14.125,"Des_Line","POINT (-14.625 14.125)","Senegal"
-14.375,14.125,"Des_Line","POINT (-14.375 14.125)","Senegal"
-14.125,14.125,"Des_Line","POINT (-14.125 14.125)","Senegal"
-13.875,14.125,"Des_Line","POINT (-13.875 14.125)","Senegal"
-11.375,14.125,"Des_Line","POINT (-11.375 14.125)","Mali"
-11.125,14.125,"Des_Line","POINT (-11.125 14.125)","Mali"
-10.875,14.125,"Des_Line","POINT (-10.875 14.125)","Mali"
-10.625,14.125,"Des_Line","POINT (-10.625 14.125)","Mali"
37.125,14.125,"Des_Line","POINT (37.125 14.125)","Ethiopia"
37.375,14.125,"Des_Line","POINT (37.375 14.125)","Ethiopia"
39.375,14.125,"Des_Line","POINT (39.375 14.125)","Ethiopia"
39.625,14.125,"Des_Line","POINT (39.625 14.125)","Ethiopia"
-15.625,13.875,"Des_Line","POINT (-15.625 13.875)","Senegal"
-15.375,13.875,"Des_Line","POINT (-15.375 13.875)","Senegal"
-10.375,13.875,"Des_Line","POINT (-10.375 13.875)","Mali"
-10.125,13.875,"Des_Line","POINT (-10.125 13.875)","Mali"
-9.875,13.875,"Des_Line","POINT (-9.875 13.875)","Mali"
-9.625,13.875,"Des_Line","POINT (-9.625 13.875)","Mali"
36.625,13.875,"Des_Line","POINT (36.625 13.875)","Ethiopia"
36.875,13.875,"Des_Line","POINT (36.875 13.875)","Ethiopia"
39.625,13.875,"Des_Line","POINT (39.625 13.875)","Ethiopia"
